Abstraction	Cohesion	Complexity	Composition	Coupling	Design Size	Effectiveness	Encapsulation	Extendibility	Flexibility	Functionality	Hierarchies	Inheritance	Messaging	Polymorphism	Reusability	Standard Cohesion	Standard Complexity	Standard Coupling	TQI	Understandability
18	28	30	21	32	26	44	39	30	36	33	20	26	28	28	26	25	43	27	38	35
5	24	31	27	35	8	45	39	16	41	38	6	15	33	19	35	24	33	32	40	22
13	35	32	26	38	17	50	40	26	43	37	16	26	32	31	26	29	44	30	37	27
11	31	26	20	29	13	56	43	32	48	39	8	27	27	25	34	23	39	25	54	35
12	32	33	28	34	16	54	41	29	45	43	16	24	32	27	35	26	43	30	44	29
17	39	37	30	41	23	55	40	35	41	43	20	33	36	35	35	28	53	36	41	27
0	23	36	29	36	2	51	39	17	42	44	0	17	35	23	34	31	40	28	44	15
3	25	30	25	29	4	50	30	15	38	41	4	13	33	14	34	29	38	27	41	18
9	33	33	27	35	13	54	43	20	44	41	12	26	34	27	28	25	45	30	42	24
10	25	30	26	33	13	48	46	24	43	34	10	22	29	20	29	28	40	28	35	28
24	46	36	28	39	34	57	56	39	48	47	30	32	39	46	41	34	51	42	47	44
10	45	40	33	41	14	64	48	33	50	50	10	29	42	32	41	34	53	32	54	28
0	22	22	20	25	0	50	29	17	42	32	0	18	22	18	28	20	31	25	44	21
2	19	31	26	30	2	53	35	21	41	37	2	19	30	16	28	28	35	34	45	24
21	40	24	15	23	29	41	42	31	32	31	30	20	22	27	27	21	38	21	34	40
13	28	26	19	26	17	46	37	24	36	32	8	26	26	22	28	25	34	23	38	32
6	32	38	31	35	6	53	37	18	47	40	8	18	32	20	31	34	36	25	40	20
3	24	30	26	27	3	53	38	20	46	39	2	16	29	21	30	25	34	28	46	23
3	23	28	23	27	7	41	29	15	31	40	4	13	33	19	28	22	36	25	32	18
2	25	36	30	37	4	54	33	19	38	44	2	20	35	19	34	24	43	32	42	15
11	19	22	21	27	12	41	31	24	27	31	10	23	25	15	30	20	31	25	40	28
22	39	31	23	35	33	50	56	31	39	36	26	24	32	34	33	28	43	38	37	40
12	35	31	26	36	19	49	36	30	37	38	12	28	29	35	26	25	50	32	35	25
9	25	23	15	27	16	37	39	21	31	37	14	17	28	21	30	20	33	20	37	25
6	17	27	21	22	7	44	44	20	40	29	4	11	26	14	29	23	31	22	38	34
6	27	23	19	23	9	46	38	24	37	33	6	26	23	20	27	18	38	23	41	30
12	45	34	30	44	20	55	49	35	45	43	18	26	31	44	36	27	51	33	44	24
6	34	33	28	32	6	57	40	27	45	41	10	23	32	22	35	27	47	37	46	27
2	23	26	23	31	7	59	45	20	52	37	2	17	27	15	35	22	32	19	56	36
37	46	36	22	35	46	47	59	50	40	47	42	47	38	47	41	28	63	29	44	38
3	33	45	39	42	3	66	42	19	52	50	4	16	42	19	37	36	44	38	45	21
4	27	31	24	32	7	57	36	22	45	39	4	26	30	23	33	26	33	33	51	29
4	24	37	28	31	4	66	49	22	56	45	4	24	38	23	38	33	37	29	55	26
18	32	23	20	26	20	46	36	36	39	33	20	31	22	27	28	19	34	21	33	32
8	29	30	28	35	10	51	31	23	38	38	10	21	29	23	25	24	36	33	35	21
14	33	30	24	29	19	49	38	35	43	40	10	27	29	27	35	28	42	28	45	38
16	38	23	19	24	21	43	41	33	40	37	18	24	24	33	32	21	36	31	39	34
23	36	29	24	28	30	45	47	30	42	42	34	22	35	35	40	25	39	30	47	46
14	19	13	11	21	19	25	27	19	16	16	18	18	13	22	8	11	22	14	17	25
6	29	24	24	34	11	51	30	26	42	34	2	22	22	26	29	19	36	30	43	27
6	26	30	25	30	7	53	43	24	45	37	4	24	29	24	34	27	38	22	50	28
11	33	34	29	35	14	50	36	23	38	42	10	25	32	28	30	26	42	29	36	21
17	37	30	24	32	25	55	50	38	45	40	10	33	32	29	33	24	50	37	47	35
7	35	32	26	34	10	64	48	30	55	41	4	22	30	33	36	28	42	28	56	30
19	32	24	21	29	25	42	33	30	35	27	18	26	24	30	22	24	37	20	28	29
19	43	27	18	30	27	55	53	30	47	38	32	24	27	36	34	20	42	32	47	40
4	24	15	12	20	9	34	25	14	28	23	8	15	15	19	20	13	28	18	28	14
9	19	11	8	19	17	19	21	17	14	13	6	15	10	18	13	10	22	9	15	14
9	33	28	22	31	11	58	44	27	47	45	8	23	31	32	34	23	40	31	45	23
14	38	17	14	30	25	47	38	28	41	30	12	28	17	38	25	15	28	24	38	28
34	54	32	22	31	49	48	54	45	40	37	40	38	32	49	32	26	51	30	39	54
17	38	28	19	28	30	43	47	38	40	39	20	30	30	41	31	19	45	25	39	35
15	43	35	27	37	30	54	57	29	48	46	12	26	36	39	34	25	50	33	41	39
10	33	28	19	26	15	57	41	32	50	41	16	26	28	29	37	23	42	30	52	32
9	40	32	25	32	16	53	37	28	47	48	12	29	35	26	40	23	43	31	49	33
2	24	22	19	25	2	53	33	23	40	36	0	22	22	16	26	16	31	23	39	24
2	33	37	24	27	3	59	40	24	47	51	0	16	38	27	43	34	42	20	52	27
17	49	39	30	39	29	64	64	32	54	46	26	28	36	43	36	32	62	40	47	40
4	22	29	26	31	5	52	37	16	47	38	0	17	29	21	29	27	39	36	43	25
10	37	45	40	48	13	61	56	24	53	55	10	21	47	33	48	33	51	49	49	25
10	30	32	27	34	13	56	41	29	42	45	12	28	32	27	35	28	41	29	49	27
9	30	27	23	37	16	46	43	20	39	38	12	18	26	25	29	19	36	33	37	29
7	34	30	21	28	9	59	44	28	50	45	10	23	32	28	39	27	40	33	52	33
15	34	27	19	31	19	59	44	29	41	36	20	27	26	21	29	25	37	24	41	38
6	28	25	22	33	10	44	38	22	36	36	10	20	28	23	30	21	35	22	38	22
21	38	14	13	25	32	38	38	35	31	24	16	31	13	34	19	12	30	17	30	39
3	28	26	19	21	4	50	34	23	36	37	4	19	27	11	35	25	37	24	42	30
3	20	18	14	19	6	35	29	12	30	26	4	11	20	19	22	16	25	18	29	19
10	30	17	13	20	11	37	21	20	28	30	12	24	17	25	20	13	31	18	26	16
2	24	21	17	23	3	45	26	20	36	31	2	20	20	19	28	20	30	17	38	15
8	18	16	8	16	14	26	23	16	19	20	12	15	18	20	17	13	26	16	22	17
14	32	25	21	25	20	42	37	29	29	32	8	20	23	21	25	23	30	21	30	33
5	28	27	20	26	5	58	35	24	46	40	6	23	26	22	31	23	38	24	46	27
15	38	33	28	43	22	61	47	34	49	49	22	33	35	34	32	26	57	40	48	31
39	49	35	28	34	48	57	59	55	46	47	52	44	36	48	42	31	54	29	52	49
1	23	28	24	31	1	57	37	18	49	37	2	18	27	20	23	23	35	24	42	27
8	31	27	17	29	16	50	47	20	41	34	14	18	27	20	32	23	33	27	42	29
2	27	19	16	17	3	40	26	14	36	27	2	15	19	22	26	17	29	20	33	18
8	17	11	9	16	13	23	18	12	19	15	2	13	12	17	13	10	21	11	17	16
25	37	27	22	33	29	55	36	35	37	28	28	31	26	35	23	24	40	22	27	23
14	41	30	21	32	26	48	50	30	37	39	14	26	29	35	36	26	48	28	41	33
6	30	36	27	36	9	56	39	20	46	42	4	20	35	24	37	25	47	35	47	24
16	27	25	20	27	20	45	40	31	37	36	18	31	26	26	26	21	40	26	38	26
10	31	23	16	27	14	49	40	19	41	35	16	23	26	26	31	22	34	19	44	28
0	14	31	22	24	0	48	33	13	38	34	0	10	31	8	30	29	30	19	35	17
17	41	35	27	33	22	60	56	31	60	46	24	29	37	37	38	30	55	29	52	41
4	34	24	16	23	9	41	33	23	39	36	2	19	25	27	30	19	38	22	37	22
2	25	39	29	33	4	56	46	15	53	47	4	15	39	19	45	36	38	28	56	29
25	49	27	23	34	33	64	53	51	44	39	28	46	26	43	30	21	59	33	43	50
4	36	29	20	27	17	49	41	21	42	38	2	17	29	24	36	25	43	24	44	36
12	27	30	25	29	14	46	35	23	34	35	12	26	30	23	24	27	30	19	33	27
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	30	26	19	28	8	49	34	23	34	34	8	22	26	25	26	19	34	27	36	20
3	20	19	17	23	4	37	22	16	26	31	0	15	21	15	22	15	26	18	33	15
13	36	19	18	22	17	43	30	32	40	36	12	26	19	31	30	16	33	18	38	31
7	26	29	25	29	8	49	36	22	35	37	4	21	31	19	26	26	33	30	35	25
5	24	26	22	29	7	46	38	17	36	34	6	15	26	15	27	24	41	24	37	25
5	26	22	21	28	5	54	32	28	38	34	6	26	23	21	28	16	37	24	43	22
7	31	28	19	28	12	45	32	26	33	35	8	20	29	22	31	25	37	21	41	25
11	28	18	14	23	13	41	32	23	31	27	8	24	17	21	22	15	34	16	31	31
7	26	28	21	25	10	55	42	21	48	34	6	18	26	16	23	22	34	21	43	33
1	19	29	21	26	1	44	33	13	37	37	2	12	28	15	29	24	37	30	38	18
11	18	27	19	27	18	47	44	23	38	39	12	21	30	19	30	21	35	23	44	33
1	20	28	24	33	1	49	28	14	38	33	2	12	24	12	23	24	30	30	33	25
1	30	30	23	27	1	45	27	16	39	43	2	13	29	18	36	28	38	29	42	15
15	33	28	23	32	24	42	41	22	34	33	24	20	25	29	27	24	39	28	29	32
12	31	25	24	30	14	43	31	27	34	36	10	22	26	27	24	22	33	27	32	21
16	51	37	24	33	25	57	53	38	44	51	18	33	38	37	44	34	55	28	48	37
10	37	24	22	30	17	44	39	22	39	34	12	21	25	30	31	23	43	23	40	29
21	43	27	20	29	28	58	47	36	49	37	24	28	23	39	30	26	48	27	40	36
14	37	23	18	26	23	43	44	29	41	33	12	24	22	28	28	20	37	21	37	34
10	34	38	34	42	13	56	35	23	50	49	12	24	37	28	36	32	43	33	46	24
9	25	30	22	26	10	56	40	25	49	41	10	21	30	24	34	30	38	22	51	29
5	24	30	27	30	5	52	29	24	42	39	4	22	29	23	35	26	38	28	43	22
6	24	30	25	30	8	50	36	22	38	38	2	24	32	21	27	25	36	27	38	25
13	28	22	20	27	19	43	36	25	37	30	8	20	21	21	22	17	39	21	31	33
9	30	31	20	29	12	48	38	26	42	41	6	25	32	23	36	28	40	26	46	29
5	29	28	24	34	6	53	34	22	38	41	6	23	30	15	34	23	38	33	46	24
4	27	33	30	35	7	54	35	17	46	40	4	25	35	23	32	30	39	29	43	23
4	26	30	19	29	6	52	38	19	43	40	6	14	30	18	31	27	41	34	42	29
26	43	25	19	30	36	47	50	44	37	37	20	33	27	40	34	21	43	22	44	46
6	27	22	16	24	9	51	35	24	40	31	2	22	23	23	25	19	32	23	46	32
17	37	32	24	34	23	52	44	35	39	38	8	28	32	32	30	25	47	30	38	37
19	39	26	18	30	26	47	44	33	32	34	8	30	27	32	26	22	44	26	34	36
6	23	31	24	30	6	53	42	20	42	40	10	15	33	14	32	26	32	22	43	26
6	33	31	25	31	8	59	37	26	46	39	8	22	25	26	29	27	45	32	43	29
4	28	31	28	38	6	53	40	20	38	40	6	19	32	21	37	26	38	33	44	25
0	22	36	30	37	1	55	40	16	47	45	0	16	38	17	34	31	39	30	43	22
12	29	31	25	33	16	51	49	25	40	32	14	24	28	30	24	25	44	30	35	32
30	49	26	16	34	50	42	49	42	36	38	34	40	27	48	31	20	59	30	38	43
15	37	22	18	27	24	33	33	24	30	32	18	25	24	30	25	16	45	26	31	27
17	34	30	21	32	23	51	43	34	45	41	14	26	31	32	39	27	47	24	47	38
4	26	35	31	33	6	54	44	17	43	38	2	16	34	18	29	25	38	32	42	29
12	24	23	17	20	17	47	33	19	44	24	14	19	23	28	22	21	30	19	28	23
26	34	27	29	31	34	60	43	34	49	27	40	30	26	29	26	25	41	25	32	22
7	35	36	26	26	12	64	51	22	54	45	10	21	33	24	39	26	50	43	49	26
9	3	4	3	3	12	16	8	11	12	7	14	5	5	7	5	3	7	8	9	8
19	41	34	22	37	29	52	50	30	55	46	32	22	33	41	34	25	50	32	42	39
11	20	30	26	26	18	46	41	19	37	34	14	14	29	13	24	19	36	36	29	17
25	25	17	21	22	33	50	28	30	43	19	38	26	17	25	18	15	31	20	24	19
19	44	33	36	41	26	68	40	32	53	40	24	35	32	40	33	25	51	43	40	19
21	40	23	29	32	33	63	42	34	49	38	30	28	24	36	27	18	46	33	33	24
0	11	21	20	20	1	46	23	10	34	30	0	10	21	11	17	17	26	23	32	18
12	35	30	40	43	24	65	43	24	55	38	14	20	29	31	23	25	45	39	35	26
21	49	30	34	37	34	77	51	32	64	45	20	30	33	39	40	23	51	33	54	35
6	29	36	37	39	8	68	38	21	49	47	8	24	36	16	36	32	42	33	47	25
22	46	22	34	37	36	72	49	32	61	33	32	30	24	34	28	22	50	19	43	36
28	46	33	36	45	39	78	53	37	66	44	38	31	33	42	32	25	56	48	44	39
14	44	28	31	33	20	62	29	36	47	42	26	24	27	39	32	25	49	43	43	17
14	34	35	31	33	22	76	53	27	62	43	20	24	37	27	39	35	49	30	49	28
16	32	24	28	24	27	58	44	28	52	32	28	17	26	26	26	23	44	29	39	42
9	31	39	38	37	15	71	49	20	58	46	18	20	39	28	34	31	39	30	49	33
15	31	41	39	44	25	70	51	30	53	45	14	23	39	28	40	36	51	33	46	27
8	24	24	22	26	10	54	37	16	43	36	10	18	26	15	31	23	36	22	41	30
6	28	26	24	29	9	59	45	21	45	33	8	18	24	14	28	18	33	26	42	32
7	28	23	29	33	16	51	33	18	39	30	10	18	24	23	28	21	37	26	33	23
3	20	27	26	28	3	50	30	8	47	40	0	11	32	10	34	25	31	26	43	24
26	56	38	38	40	34	83	62	39	75	48	30	36	38	41	43	33	67	40	51	41
10	8	1	6	8	15	16	7	11	6	2	14	11	1	13	1	0	4	3	2	15
10	33	29	28	34	14	55	40	16	41	37	16	16	29	21	27	19	47	35	34	23
29	42	32	39	41	40	75	66	36	60	37	42	31	32	35	30	23	62	38	35	31
7	28	21	20	24	11	57	45	20	52	35	10	20	23	21	27	20	33	19	48	30
34	43	24	28	33	45	74	43	41	56	33	50	38	26	38	25	19	56	34	34	29
9	28	36	30	38	16	63	50	20	47	41	12	19	37	19	32	32	45	31	43	20
11	38	31	29	32	16	71	44	29	66	44	14	26	28	29	37	24	45	30	51	38
13	31	29	23	25	16	63	38	30	51	38	20	21	31	27	29	28	42	24	41	32
21	36	32	34	37	26	65	38	31	54	35	28	28	30	30	24	31	54	33	31	17
8	36	30	25	29	11	59	47	33	56	39	8	17	31	29	34	28	37	22	51	37
2	23	31	32	34	6	48	34	10	40	39	0	10	35	11	30	28	37	24	38	20
23	49	32	40	42	38	72	47	37	59	45	28	35	29	42	31	31	55	35	49	14
14	29	21	22	28	19	49	33	22	40	31	22	21	22	21	25	20	32	21	32	23
21	43	34	35	37	26	77	49	35	64	45	22	31	35	27	32	29	54	37	45	38
16	43	33	38	39	24	71	51	28	63	44	24	25	34	33	41	31	50	31	47	34
12	35	29	29	30	18	56	37	21	45	39	16	18	32	21	34	23	40	24	37	30
9	25	23	21	24	13	48	34	16	35	23	6	16	19	16	17	16	30	25	26	24
0	33	32	27	31	1	59	38	22	47	43	0	19	31	17	37	30	42	31	52	22
11	24	29	37	39	24	62	44	16	53	34	16	10	33	23	25	26	45	31	39	26
25	43	29	28	35	28	77	47	38	58	36	28	35	26	32	23	25	51	33	40	43
7	19	22	20	19	9	45	32	17	41	27	0	19	24	14	24	20	30	18	34	28
2	30	27	21	23	2	48	34	14	38	40	2	10	25	10	30	22	37	23	43	26
18	39	19	20	23	23	57	40	26	51	28	24	25	20	27	24	13	36	25	38	37
1	25	40	35	36	2	67	52	8	59	46	2	10	38	10	35	34	36	31	52	29
3	25	29	27	32	11	56	41	18	47	40	2	13	30	19	32	26	40	30	41	26
7	22	19	21	25	10	44	33	13	34	26	8	16	21	13	21	17	32	18	30	23
5	25	35	29	31	5	60	40	19	50	39	4	11	34	16	36	30	32	26	51	30
18	26	28	22	26	21	58	36	21	46	33	28	21	28	21	27	24	39	24	39	30
7	26	31	30	30	17	58	55	19	54	35	4	13	30	23	31	28	38	26	49	41
6	35	42	37	44	11	64	47	19	56	47	4	10	42	25	40	35	51	33	48	27
10	36	39	45	41	20	67	50	27	58	50	6	19	42	30	42	35	47	35	44	28
10	27	37	38	34	16	62	42	20	52	42	16	18	36	22	35	34	43	24	38	32
4	39	28	28	32	8	56	36	16	46	40	4	16	27	18	34	24	43	30	42	26
11	34	33	37	30	20	66	47	22	58	39	18	24	32	26	33	23	50	30	42	36
5	26	31	30	30	7	56	40	15	47	36	8	14	28	16	25	26	45	29	37	28
13	34	25	29	31	21	64	44	32	56	36	16	27	24	30	30	20	43	26	44	36
14	24	21	20	22	16	57	39	27	51	32	18	20	24	23	27	16	31	25	45	36
5	27	38	36	43	7	64	41	20	54	46	6	26	38	24	29	30	46	33	42	21
11	28	31	31	37	13	64	33	19	45	37	10	19	30	21	27	24	42	26	36	25
13	27	30	25	30	15	62	39	25	55	40	12	24	30	22	30	26	36	23	43	32
20	30	24	29	32	27	63	40	27	49	28	30	24	25	27	22	24	41	29	31	27
17	33	27	29	34	24	64	48	31	47	38	20	28	26	20	29	22	47	34	40	38
4	29	39	33	35	6	70	45	18	58	47	4	21	37	21	38	33	48	30	56	33
18	31	31	31	35	26	59	43	23	53	35	12	26	31	21	27	28	40	26	34	34
1	24	37	33	34	2	59	44	20	54	41	0	11	37	19	33	34	42	20	44	26
15	36	38	35	41	22	66	48	25	57	45	12	20	39	27	38	36	50	32	45	29
9	34	28	25	29	11	47	34	21	35	36	14	18	27	18	30	25	37	25	33	24
18	44	30	37	40	30	65	56	32	58	37	14	25	30	36	32	26	56	28	41	31
11	25	31	29	30	19	56	44	16	51	36	10	15	30	18	32	30	42	25	39	31
16	23	32	32	39	19	61	35	25	46	36	24	23	31	24	21	25	42	27	30	20
14	26	29	25	27	17	64	48	22	53	32	16	18	27	23	26	26	39	23	44	37
10	33	36	37	37	15	61	36	13	51	41	8	11	32	19	33	26	44	31	40	30
7	22	26	24	24	10	56	40	18	48	36	12	14	27	17	32	22	38	24	48	33
12	26	27	25	29	13	55	35	26	43	35	16	23	29	17	29	19	35	27	43	35
10	27	34	30	33	13	62	45	21	55	44	6	20	35	22	36	29	46	28	47	30
10	45	31	30	34	15	65	49	23	53	45	12	15	30	27	41	29	49	32	48	30
13	35	27	28	33	18	63	42	26	59	36	14	27	28	31	30	24	45	27	44	32
13	35	34	30	35	22	64	53	21	54	40	18	18	32	26	31	32	46	27	41	31
5	26	26	22	25	5	58	42	22	44	40	4	21	29	15	35	25	36	25	44	23
30	32	32	25	31	36	65	53	41	58	37	32	35	31	31	36	29	52	28	45	38
7	24	36	33	35	15	53	36	17	46	49	6	15	39	21	36	28	37	30	38	15
13	18	9	11	12	16	35	21	20	26	13	14	20	9	17	12	7	20	14	17	18
5	27	22	19	25	7	48	30	25	42	32	8	24	21	19	30	20	29	21	41	26
11	29	27	21	35	22	61	53	19	54	35	18	17	28	26	26	26	36	24	36	27
11	33	25	16	26	18	60	47	27	55	38	18	23	24	31	29	23	41	29	43	35
0	14	14	7	11	1	21	19	4	17	22	2	4	17	4	20	14	11	9	19	12
0	18	11	16	14	20	16	17	16	17	10	14	11	11	18	9	9	14	11	13	21
14	24	26	16	23	18	51	38	25	45	33	18	20	27	21	25	24	40	26	33	23
18	39	38	28	40	25	55	44	29	47	40	20	27	37	27	30	31	46	34	39	36
12	31	39	35	48	21	54	44	22	48	49	22	17	41	24	37	36	43	30	45	23
5	21	34	28	37	8	48	42	15	43	37	4	11	31	13	31	30	28	22	38	26
8	19	29	24	30	12	46	36	17	34	32	10	10	27	15	27	22	34	29	36	34
10	27	37	29	42	14	55	44	19	42	44	8	13	38	21	37	33	43	25	40	29
21	36	26	21	34	30	42	44	32	45	33	30	24	27	34	31	26	38	15	38	32
14	35	29	22	27	15	48	36	33	49	41	20	27	30	28	36	25	45	19	42	32
17	44	33	35	41	28	75	50	31	63	38	32	30	31	37	30	31	54	42	44	25
1	36	33	31	33	6	60	43	20	52	44	0	14	32	15	40	29	43	25	41	26
4	29	20	17	25	8	41	30	19	35	35	8	15	22	23	30	14	36	26	37	22
22	27	16	21	23	32	49	28	27	45	15	44	23	15	29	13	12	23	15	17	18
4	26	27	21	27	9	57	37	29	51	42	6	22	28	23	34	25	44	21	51	28
8	8	12	9	12	10	25	23	9	16	13	16	10	12	12	12	10	17	12	16	12
36	37	23	20	28	41	70	42	44	57	31	56	44	22	37	26	22	41	37	32	37
15	36	20	14	27	24	34	28	31	29	33	22	24	21	31	25	19	36	19	32	23
10	7	7	7	7	11	26	13	14	19	9	18	13	8	7	7	5	6	7	18	22
21	35	19	21	21	26	54	27	30	38	27	32	27	19	26	21	18	38	24	23	15
17	20	17	25	21	25	37	22	22	28	17	34	20	15	23	13	17	28	15	14	12
29	24	8	18	20	41	43	28	29	28	6	58	27	6	35	4	10	26	10	4	13
19	28	31	27	29	22	53	30	30	42	40	22	30	32	22	30	25	38	30	32	31
20	24	16	24	23	30	46	31	26	37	18	30	23	16	23	17	13	30	20	20	23
18	46	33	25	30	24	64	51	45	66	51	26	34	35	44	44	28	54	24	57	41
13	16	21	20	23	14	47	24	22	36	26	24	20	20	15	17	16	25	20	26	20
12	31	31	31	30	18	64	36	31	57	39	18	21	32	25	30	30	46	23	35	31
15	29	15	17	19	21	44	32	22	39	18	18	14	15	28	14	14	24	19	32	24
13	29	13	19	26	20	45	24	27	33	21	12	27	12	27	18	11	32	21	21	14
16	43	29	37	40	33	71	59	26	63	35	26	20	32	40	29	27	44	31	40	41
9	27	29	24	27	11	61	45	26	53	33	16	20	28	30	30	28	36	24	47	28
26	42	31	23	31	33	62	39	38	51	38	44	33	30	35	30	27	45	29	35	29
26	42	29	30	34	32	71	41	33	58	38	40	26	28	35	28	22	45	43	40	35
1	12	21	16	16	1	29	15	8	23	23	2	6	20	12	18	19	24	14	20	8
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	34	17	19	24	33	55	38	32	45	26	30	26	17	29	19	12	32	22	32	29
31	41	30	34	38	38	69	38	45	57	37	54	33	30	43	32	26	44	28	37	34
4	12	12	18	18	11	20	9	6	17	12	8	5	11	12	10	11	20	16	10	3
8	30	23	26	27	12	44	15	16	31	34	16	17	23	19	27	20	32	19	24	12
15	37	23	30	34	28	53	44	22	54	34	20	16	24	32	28	22	43	25	39	29
15	23	16	13	18	20	40	29	31	23	22	20	29	17	27	21	16	29	15	27	20
4	7	6	6	6	8	16	12	4	9	8	2	5	7	2	7	6	10	14	10	8
25	24	11	11	13	29	43	25	31	36	10	38	30	10	33	11	11	19	10	16	32
8	27	31	26	26	9	52	34	20	39	38	12	15	30	14	33	24	36	37	33	25
16	31	27	25	31	19	65	41	30	57	35	22	27	25	31	27	22	40	27	43	21
12	30	24	30	32	20	53	39	22	45	32	20	25	23	26	24	14	36	38	31	28
9	21	19	12	20	17	28	30	14	22	23	12	15	18	17	17	16	27	18	23	23
20	26	17	11	22	28	19	27	24	17	20	12	21	18	24	15	15	30	18	16	21
14	30	25	27	34	23	51	40	20	43	30	20	18	25	24	23	21	45	31	30	27
15	35	26	24	26	20	58	36	29	49	32	22	30	24	29	26	23	41	30	35	24
16	35	25	24	33	21	63	37	33	49	37	30	27	23	28	31	23	41	31	42	32
22	44	31	38	39	33	59	48	34	51	36	30	24	31	30	31	24	50	30	38	29
6	27	35	33	36	12	52	34	14	48	39	6	14	32	20	31	29	41	29	34	23
16	39	42	28	36	22	69	60	26	68	45	20	21	39	31	40	37	46	28	55	43
34	42	32	27	36	43	66	48	41	52	35	52	30	29	37	26	25	52	38	34	30
3	18	8	11	13	7	24	15	11	19	15	2	9	9	10	13	7	19	18	21	12
14	19	10	12	11	17	32	26	19	29	11	22	17	10	17	8	7	19	14	15	12
21	42	24	29	41	30	65	44	31	46	32	38	30	25	29	25	22	46	34	33	35
12	33	23	26	32	18	55	42	18	47	37	18	19	22	20	28	18	43	29	40	28
12	40	40	32	46	25	68	51	25	62	50	14	27	41	31	32	26	53	47	44	30
12	30	24	28	31	18	53	24	33	40	40	18	33	25	29	30	20	34	31	46	31
11	25	31	24	33	15	54	40	17	43	31	14	17	30	17	28	25	38	22	34	16
5	27	30	29	33	10	48	42	14	45	33	6	14	29	19	28	24	38	25	40	26
12	25	19	22	26	19	41	22	22	30	26	22	21	19	25	18	14	28	27	22	11
13	34	32	32	37	18	66	37	25	52	38	20	24	32	26	31	32	45	24	42	19
4	20	30	28	28	6	52	28	17	38	40	2	17	30	16	24	24	33	25	39	20
23	52	23	32	39	34	70	40	42	64	37	40	40	24	47	25	17	51	34	43	32
4	29	24	23	25	5	47	27	16	38	32	4	17	23	25	25	16	32	19	37	20
9	31	26	24	28	12	57	32	33	47	43	14	29	26	30	30	20	45	29	43	17
10	36	32	28	31	12	56	33	28	48	50	14	29	34	26	44	25	42	21	48	26
21	42	29	36	33	35	76	58	30	74	36	24	28	30	44	34	25	55	37	49	40
7	31	31	35	35	17	59	45	25	53	42	4	27	32	35	34	28	40	23	46	23
1	19	29	27	28	1	50	23	13	33	33	2	16	27	12	27	24	34	34	35	15
22	37	33	25	39	33	57	43	29	45	41	22	30	32	33	29	28	51	34	38	35
6	27	32	29	32	10	52	40	16	46	41	12	16	33	15	31	29	43	25	37	23
5	31	43	34	34	9	61	39	16	57	52	6	18	40	18	44	38	40	27	48	29
6	23	31	27	38	11	50	29	18	39	39	12	21	30	20	28	20	38	24	36	14
13	32	31	25	31	18	53	43	26	40	36	14	24	28	23	24	27	43	31	36	29
10	36	36	31	39	13	64	41	34	50	46	16	27	36	33	36	31	51	30	51	18
10	20	16	14	14	13	30	22	19	23	17	16	11	13	14	14	16	21	9	21	17
0	24	35	33	38	18	52	45	18	47	40	18	23	35	22	33	30	44	34	42	28
3	17	15	12	14	4	24	15	12	18	19	6	10	15	10	16	11	21	12	18	9
5	8	3	5	2	8	10	10	8	9	7	6	8	7	2	7	3	4	2	12	13
9	26	30	26	30	11	49	34	26	42	33	14	22	27	18	26	24	41	28	35	22
9	25	27	19	23	15	53	39	24	51	41	16	23	28	21	37	22	33	25	46	35
0	34	31	31	36	12	55	46	18	48	41	10	14	29	22	31	27	50	37	43	28
8	14	6	6	7	11	30	20	16	28	14	10	13	8	17	11	7	14	10	23	19
0	27	31	32	41	11	59	51	16	54	43	6	17	34	17	34	25	47	44	44	26
18	37	27	25	29	21	41	30	30	34	32	20	32	26	28	26	22	44	27	28	23
17	41	37	29	37	20	64	43	32	49	45	24	33	36	24	40	32	54	46	50	28
15	32	32	24	33	20	51	42	26	37	41	16	23	32	25	32	27	47	34	41	30
4	10	2	2	3	6	14	7	8	13	7	2	8	2	9	5	1	10	9	8	7
13	32	27	21	33	17	58	49	30	47	38	20	29	27	24	32	22	46	43	45	28
26	37	33	28	40	32	73	64	37	59	44	40	37	34	34	32	26	57	49	45	34
3	22	41	30	34	4	64	45	21	53	47	4	21	39	18	38	36	46	31	53	25
15	27	21	20	33	22	47	41	29	36	27	16	29	23	24	26	20	36	25	41	38
4	3	3	3	3	5	10	6	4	8	3	6	4	3	4	3	4	4	3	5	5
4	28	27	25	31	5	46	27	15	37	35	8	16	25	16	20	21	40	32	31	16
5	19	27	24	33	9	46	33	15	36	35	2	15	26	9	25	22	36	25	35	24
6	24	23	22	26	8	43	32	16	41	28	10	18	22	19	24	20	31	24	35	18
20	35	35	28	39	29	55	43	34	44	45	22	31	35	30	34	29	56	35	37	22
8	37	43	29	38	17	57	49	23	47	53	10	21	45	26	43	35	54	38	48	29
10	27	33	24	31	13	56	36	23	39	45	14	26	35	22	37	28	45	30	46	28
14	29	30	26	31	18	49	42	19	46	37	16	16	31	18	31	26	36	23	39	29
13	31	23	16	25	19	45	40	32	39	36	24	25	23	29	30	17	35	24	42	31
15	31	33	27	34	21	59	51	28	46	36	12	28	31	30	26	25	43	32	43	38
20	36	34	28	39	27	56	49	36	45	44	20	36	34	32	31	29	50	33	40	35
